tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4	gene_name	is_mito
Brain_Putamen_basal_ganglia	ENSG00000167550.11	ADHD	108	5.01753739604984e-05	0.0247332327901395	5.24579173451061e-05	0.0249081238877225	0.950256010030832	RHEBL1	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000187010.21	F3	81	2.41478105608506e-15	0.0262985907350684	3.41859896934976e-15	0.0362934353589519	0.937407973905971	RHD	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000167550.11	ADHD	33	0.00576364318270379	0.0273138645707098	0.00548614640899667	0.0250624353982461	0.936373910439343	RHEBL1	FALSE
Brain_Cortex	ENSG00000177875.5	ADHD	170	0.000714843412188135	0.0226078240696744	0.00133800521456643	0.0413821444688983	0.933957182834673	CCDC184	FALSE
Brain_Substantia_nigra	ENSG00000253893.2	ASD	779	4.34215955969026e-13	0.00727227613860898	3.65757449669565e-12	0.0603248848581897	0.93240283899911	FAM85B	FALSE
Brain_Cerebellum	ENSG00000261349.1	F3	84	2.53467945089473e-16	0.0291909235195704	3.58888340387101e-16	0.0404013752688494	0.930407701211581	ENSG00000261349	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000224183.1	F3	81	4.67119690181982e-15	0.03024485826095	6.6130007413925e-15	0.0418896980859536	0.927865443653087	SDHDP6	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000253893.2	ASD	1148	3.99473186295136e-18	0.0065912498974414	4.04150973374359e-17	0.0657566750135506	0.927652075089011	FAM85B	FALSE
Brain_Amygdala	ENSG00000187010.21	F3	81	1.96824487438599e-12	0.0303844295533099	2.78643891215241e-12	0.0420876262842041	0.927527944157732	RHD	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000187010.21	F3	81	8.23030352791221e-12	0.0304131141510989	1.1651618305956e-11	0.0421283043539123	0.927458581475107	RHD	FALSE
Brain_Putamen_basal_ganglia	ENSG00000011198.10	ADHD	45	0.00282117377613688	0.00332379080487862	0.0309134079985234	0.035493456532704	0.927448170887757	ABHD5	FALSE
Brain_Cerebellum	ENSG00000269954.2	ASD	75	0.0101325912956608	0.0338561546729145	0.00691747382803917	0.0221865350159473	0.926907245187438	ENSG00000269954	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000188672.19	F3	83	6.8937333354686e-26	0.0306848591591615	9.76252147047202e-26	0.0425274019987372	0.926787738842105	RHCE	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000187010.21	F3	81	2.28723065700015e-26	0.0308180226687947	3.23802621648962e-26	0.0427025113559688	0.926479465975236	RHD	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000188672.19	F3	83	1.33846999207832e-34	0.0317853209610191	1.89546670858555e-34	0.0440884762910651	0.92412620274792	RHCE	FALSE
Brain_Caudate_basal_ganglia	ENSG00000187010.21	F3	84	8.92175512347089e-31	0.0323515224034285	1.26324213835888e-30	0.0448841489686891	0.922764328627887	RHD	FALSE
Brain_Cortex	ENSG00000187010.21	F3	81	1.06944502706242e-21	0.0325459123847821	1.51401041435164e-21	0.0451528583612166	0.922301229253999	RHD	FALSE
Brain_Hypothalamus	ENSG00000187010.21	F3	81	9.1701894907872e-13	0.032619388581851	1.29822123057283e-12	0.045257056087369	0.922123555328563	RHD	FALSE
Brain_Cortex	ENSG00000261349.1	F3	80	4.50768518955201e-10	0.0328050690252334	6.37771905970097e-10	0.0454927001029205	0.921702229783305	ENSG00000261349	FALSE
Brain_Cortex	ENSG00000183726.11	F3	81	1.10905835492212e-11	0.0329923377673626	1.5700908947962e-11	0.0457859410685198	0.921221721137325	TMEM50A	FALSE
Brain_Hypothalamus	ENSG00000183726.11	F3	80	4.87115799297452e-05	0.0329649031046916	6.89198022226921e-05	0.0457193461935992	0.921198119319556	TMEM50A	FALSE
Brain_Cortex	ENSG00000188672.19	F3	81	1.23426013266179e-33	0.0332073934560445	1.74733871080958e-33	0.0460909148511643	0.920701691692796	RHCE	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000187010.21	F3	84	2.97860142224928e-25	0.033289703410866	4.21743791203404e-25	0.0462147996777399	0.920495496911397	RHD	FALSE
Brain_Cerebellum	ENSG00000183726.11	F3	81	3.33507504466493e-21	0.0335491095692872	4.72145666443147e-21	0.0465755077317058	0.91987538269901	TMEM50A	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000261349.1	F3	83	1.52045266787991e-10	0.0336595221773173	2.15155004568253e-10	0.0467110189715262	0.919629458483957	ENSG00000261349	FALSE
Brain_Putamen_basal_ganglia	ENSG00000187010.21	F3	81	1.78857965197174e-18	0.033809819521568	2.53208734573375e-18	0.0469452245283851	0.919244955950047	RHD	FALSE
Brain_Cerebellum	ENSG00000188672.19	F3	83	2.29100106887e-28	0.0338229533064338	3.24438820524777e-28	0.0469789859537118	0.919198060739852	RHCE	FALSE
Brain_Cerebellum	ENSG00000187010.21	F3	84	2.61909649452658e-19	0.0338748885680987	3.708410520717e-19	0.0470447856167263	0.919080325815177	RHD	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000183726.11	F3	81	1.18736865676854e-10	0.0343792097609	1.68095457600118e-10	0.04775268559222	0.917868104360048	TMEM50A	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000261349.1	F3	80	7.90831983493957e-06	0.0344203710946776	1.11891225807892e-05	0.0477820413822834	0.917778490080623	ENSG00000261349	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000183726.11	F3	82	3.24739690178073e-24	0.0345582469294261	4.59873720668522e-24	0.048021561016254	0.91742019205432	TMEM50A	FALSE
Brain_Caudate_basal_ganglia	ENSG00000224183.1	F3	85	4.42658026101785e-14	0.0345598824584123	6.2688754043974e-14	0.0480259200124756	0.917414197529004	SDHDP6	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000183726.11	F3	81	1.32658211556196e-24	0.0345683321688279	1.87803869075002e-24	0.0480208829899519	0.91741078484122	TMEM50A	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000187010.21	F3	83	3.99291161549773e-16	0.0346644089274233	5.65453919945454e-16	0.0481726436852609	0.917162947387317	RHD	FALSE
Brain_Hippocampus	ENSG00000187010.21	F3	81	7.06464336488469e-24	0.0348141174304824	1.0001396385465e-23	0.0483694348531041	0.916816447716411	RHD	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000164078.14	ADHD	291	0.000287575203069327	0.0281199594420365	0.000564846536972773	0.0543156639284374	0.916711954889484	MST1R	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000188672.19	F3	82	8.47520024287742e-36	0.0349738909685744	1.19997621615882e-35	0.0486019779669761	0.916424131064454	RHCE	FALSE
Brain_Hypothalamus	ENSG00000188672.19	F3	83	4.78837182003197e-27	0.0349761753357634	6.78102566879863e-27	0.0486149039476791	0.916408920716561	RHCE	FALSE
Brain_Caudate_basal_ganglia	ENSG00000188672.19	F3	90	3.49622743167822e-68	0.0348744046776343	4.98933936115771e-68	0.0488517241653827	0.916273871156991	RHCE	FALSE
Brain_Putamen_basal_ganglia	ENSG00000188672.19	F3	82	1.1088476565508e-51	0.0350459494818258	1.56998156630298e-51	0.0487041775455267	0.916249872972649	RHCE	FALSE
Brain_Hippocampus	ENSG00000188672.19	F3	81	5.10083045512223e-32	0.0350850506459103	7.22123179356861e-32	0.0487536494166287	0.916161299937454	RHCE	FALSE
Brain_Hypothalamus	ENSG00000167550.11	ADHD	44	0.0118190050981454	0.0368825876135301	0.00878911608386443	0.0265114667816702	0.91599782442279	RHEBL1	FALSE
Brain_Cerebellum	ENSG00000167550.11	ADHD	33	0.00113281827487138	0.0438938534984526	0.00103453871820434	0.039171000548856	0.914767788959615	RHEBL1	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000254340.2	ASD	164	0.00122417661667809	0.0227086778329193	0.00320097456239765	0.0584642032911658	0.91440196769684		FALSE
Brain_Cerebellar_Hemisphere	ENSG00000249188.1	ASD	268	3.53595758737433e-05	0.014201187662767	0.000180098607519491	0.0714174177998217	0.914165936354018		FALSE
Brain_Cerebellum	ENSG00000249188.1	ASD	416	2.68403717251473e-06	0.0146270997688537	1.32739318182973e-05	0.0714245310868114	0.913932411175344		FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000173540.14	ADHD	365	1.26280094695012e-12	0.00108352239793406	1.00779135668262e-10	0.0855582674287327	0.91335821007129	GMPPB	FALSE
Brain_Amygdala	ENSG00000188672.19	F3	81	7.39603103210092e-25	0.0362901067815867	1.0470541004082e-24	0.0504625580731748	0.913247335145236	RHCE	FALSE
Brain_Putamen_basal_ganglia	ENSG00000196072.12	ADHD	153	4.53857713433907e-37	0.00762254701858247	4.79033025336684e-36	0.0795408309262097	0.912836622055204	BLOC1S2	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000253893.2	ASD	957	6.67967738392244e-15	0.00840843757984938	6.41274423616714e-14	0.0798124183375732	0.911779144082504	FAM85B	FALSE
Brain_Hippocampus	ENSG00000261349.1	F3	80	0.000108794236847181	0.0371310828683709	0.000153928024861658	0.0516241007607965	0.910982094109124	ENSG00000261349	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000188672.19	F3	83	1.37008053015104e-68	0.0372307297024348	1.94023179328069e-68	0.0518131311433219	0.910956139154255	RHCE	FALSE
Brain_Substantia_nigra	ENSG00000188672.19	F3	81	2.60411780261679e-14	0.03773939296803	3.6866424861408e-14	0.0525178131243746	0.909742793907533	RHCE	FALSE
Brain_Cerebellum	ENSG00000070961.16	ADHD	116	4.0160821848566e-06	4.70597086965206e-05	0.00729872348934872	0.084617059587384	0.908033141132386	ATP2B1	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000188672.19	F3	81	1.69400078440908e-33	0.0384909510679176	2.39819230031865e-33	0.0535836092352555	0.907925439696825	RHCE	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000261349.1	F3	81	0.000312896246277362	0.0382644359852295	0.000442791366731655	0.0532417190787241	0.907738157323038	ENSG00000261349	FALSE
Brain_Substantia_nigra	ENSG00000187010.21	F3	81	9.75217095732571e-10	0.0386677485920423	1.38061218840629e-09	0.0538343285281822	0.907497920523946	RHD	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000261349.1	F3	86	4.29069349409403e-15	0.0387143970785713	6.08492718406339e-15	0.0539962565541454	0.907289346367272	ENSG00000261349	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000164078.14	ADHD	201	0.00022177803355687	0.0217370629096072	0.000729786921050531	0.0706216937194646	0.906689678416322	MST1R	FALSE
Brain_Putamen_basal_ganglia	ENSG00000254340.2	ASD	37	0.0138347149754231	0.0215900698737782	0.0240311491836851	0.0365983947054385	0.903945671261675		FALSE
Brain_Substantia_nigra	ENSG00000196072.12	ADHD	130	1.26398876132788e-17	0.00848847915458118	1.33249307544283e-16	0.0885823577364172	0.902929163109002	BLOC1S2	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000224183.1	F3	81	3.45834414285476e-09	0.0407503174447158	4.89596839126585e-09	0.0567876514830734	0.902462022717898	SDHDP6	FALSE
Brain_Hypothalamus	ENSG00000196072.12	ADHD	151	3.96678008020981e-22	0.00864295204767874	4.18680794149745e-21	0.0903225259969047	0.901034521955419	BLOC1S2	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000224183.1	F3	81	1.71966063219708e-07	0.0413936661692661	2.43451887699967e-07	0.0576999946204915	0.900905923792292	SDHDP6	FALSE
Brain_Hippocampus	ENSG00000270562.1	F3	38	0.00379256608729227	0.00390645468777466	0.0454963697293793	0.0459617569585989	0.900842852536955	ENSG00000270562	FALSE
Brain_Hippocampus	ENSG00000224183.1	F3	82	2.03026390562143e-05	0.0417512294509899	2.87480358500937e-05	0.0582187295240432	0.89998099035006	SDHDP6	FALSE
Brain_Cortex	ENSG00000224183.1	F3	83	2.6590663772702e-09	0.0418788131696334	3.76562180987612e-09	0.058406729943451	0.899714450462227	SDHDP6	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000204178.11	F3	83	1.01235470150888e-19	0.0420523534543618	1.43364038442922e-19	0.058652907747749	0.899294738797889	MACO1	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000261349.1	F3	58	0.0109524931329876	0.0353012839314393	0.0135131158732786	0.0426569218134113	0.897576185248883	ENSG00000261349	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000204178.11	F3	80	0.000226287110889382	0.0429848033071939	0.000320163356444887	0.0599206980108503	0.896548048214623	MACO1	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000285675.1	ASD	77	5.45000992106956e-05	0.0798857032912617	1.67777994919253e-05	0.0236963849667112	0.896346633843324	ENSG00000285675	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000196072.12	ADHD	154	2.59603001439993e-06	0.00915426854829368	2.73986636345514e-05	0.0957196284456436	0.895096108312414	BLOC1S2	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000183726.11	F3	83	1.1475985762784e-05	0.0445711136818648	1.62516523271341e-05	0.0622259553326871	0.893175203347358	TMEM50A	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000224183.1	F3	80	0.00201391648276533	0.0437129384367458	0.0028493989701297	0.0609569846243717	0.890466761485987	SDHDP6	FALSE
Brain_Cerebellum	ENSG00000224183.1	F3	82	0.000269636550657485	0.0460569800691007	0.000381619644674724	0.0642959664264805	0.888995797309086	SDHDP6	FALSE
Brain_Cerebellum	ENSG00000196072.12	ADHD	181	3.10577394399174e-09	0.00978395159549361	3.27577104285286e-08	0.102306933492138	0.887909079048882	BLOC1S2	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000197728.11	ADHD	101	9.59208814190098e-308	0.0295574579919313	2.72767568038044e-307	0.0831644509441011	0.887278091064014	RPS26	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000197728.11	ADHD	103	1.71859527252454e-277	0.0295574222576598	4.88719232724623e-277	0.0831655593766803	0.887277018365671	RPS26	FALSE
Brain_Amygdala	ENSG00000197728.11	ADHD	137	7.03045410829151e-232	0.0295572765479368	1.99937688109046e-231	0.0831700791108419	0.88727264434119	RPS26	FALSE
Brain_Substantia_nigra	ENSG00000197728.11	ADHD	148	4.00696488705866e-162	0.0295571174024362	1.13960577960488e-161	0.0831750156061329	0.887267866991441	RPS26	FALSE
Brain_Hypothalamus	ENSG00000197728.11	ADHD	155	3.69001896934077e-267	0.0295570308867289	1.04950092855245e-266	0.0831776992156763	0.887265269897565	RPS26	FALSE
Brain_Hippocampus	ENSG00000197728.11	ADHD	127	1.57468114847347e-239	0.0295560487977049	4.48041749758507e-239	0.0832081623945441	0.887235788807727	RPS26	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000197728.11	ADHD	175	5.44968966539042e-233	0.0295535164215453	1.55217227279085e-232	0.0832867135503417	0.887159770028123	RPS26	FALSE
Brain_Cortex	ENSG00000197728.11	ADHD	178	1.11253692926878e-308	0.0295512650166815	1.11253692929686e-308	0.083356549326289	0.88709218565702	RPS26	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000197728.11	ADHD	189	0	0.0295507031076753	0	0.0833739790441696	0.887075317848211	RPS26	FALSE
Brain_Putamen_basal_ganglia	ENSG00000197728.11	ADHD	200	0	0.0295506624212299	0	0.0833752410870157	0.887074096491772	RPS26	FALSE
Brain_Cerebellum	ENSG00000197728.11	ADHD	217	0	0.0295506334257797	0	0.0833761404898206	0.887073226084453	RPS26	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000197728.11	ADHD	247	0	0.029550430096459	0	0.0833824475122118	0.887067122391385	RPS26	FALSE
Brain_Caudate_basal_ganglia	ENSG00000197728.11	ADHD	259	0	0.0295501393865869	0	0.0833914649704895	0.887058395642947	RPS26	FALSE
Brain_Putamen_basal_ganglia	ENSG00000261349.1	F3	82	0.000311658545350825	0.0471906866629476	0.000441093846685885	0.0659033567207367	0.88615320422428	ENSG00000261349	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000167550.11	ADHD	42	0.00104772138716192	0.0561828861935215	0.00106049846700597	0.0559823162152008	0.88572657773711	RHEBL1	FALSE
Brain_Cerebellum	ENSG00000139636.16	ADHD	97	7.23693006388533e-05	0.0869342920232134	2.3485218005344e-05	0.0273261917751969	0.885643661682946	LMBR1L	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000196072.12	ADHD	136	3.94184022687263e-15	0.0100097852485668	4.15978014299229e-14	0.104746906947155	0.885243307804234	BLOC1S2	FALSE
Brain_Cortex	ENSG00000139636.16	ADHD	38	0.0104106130563169	0.0888758906318433	0.00176191164257895	0.0141567272510037	0.884794857418257	LMBR1L	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000255310.2	ASD	66	0.0205111453385968	0.0417331089795882	0.0178041644807326	0.0353407253845125	0.88461085581657	ENSG00000255310	FALSE
Brain_Amygdala	ENSG00000196072.12	ADHD	130	1.19904068643584e-14	0.0101020190700356	1.26473686013498e-13	0.105670921771017	0.884227059158807	BLOC1S2	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000253893.2	ASD	1259	2.41065150704276e-23	0.0105004039495595	2.43913837516972e-22	0.105360742056118	0.884138853994324	FAM85B	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000196072.12	ADHD	148	6.87010664603708e-20	0.0101111711787752	7.2502095645073e-19	0.105821860269145	0.884066968552081	BLOC1S2	FALSE
Brain_Cortex	ENSG00000196072.12	ADHD	151	3.97011521593954e-36	0.0101774599624473	4.18976090528041e-35	0.106521954795053	0.883300585242498	BLOC1S2	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000196072.12	ADHD	155	1.46315255047117e-28	0.0101901197866371	1.54432678991237e-27	0.106671435915375	0.883138444297994	BLOC1S2	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000139531.13	ADHD	33	0.00635221628817368	0.0426235823713275	0.00912966760489494	0.060378857321994	0.88151567641361	SUOX	TRUE
Brain_Amygdala	ENSG00000261349.1	F3	56	0.0185892341654103	0.0362301833687751	0.0221104361866179	0.0422121037372036	0.880858042541993	ENSG00000261349	FALSE
Brain_Caudate_basal_ganglia	ENSG00000196072.12	ADHD	157	6.22732937145103e-35	0.0104109294034128	6.57291281242052e-34	0.109006219633924	0.88058285096267	BLOC1S2	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000233609.3	ASD	53	0.00554755621669605	0.0307977620950139	0.0128226738339071	0.0703057118840236	0.88052629597036	RPL10P19	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000186523.15	ASD	41	0.0190871102767567	0.0527716870157625	0.0134375125150534	0.0362733540058529	0.878430336186575	FAM86B1	FALSE
Brain_Amygdala	ENSG00000167550.11	ADHD	30	0.0182108569861413	0.047804651453261	0.0156524582799875	0.0402105715652491	0.878121461715361	RHEBL1	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000167550.11	ADHD	39	8.91163726499133e-05	0.0617964370474503	9.01818293108527e-05	0.0616588969203329	0.876365367830256	RHEBL1	FALSE
Brain_Substantia_nigra	ENSG00000224183.1	F3	80	0.00184482869691065	0.0503264512403637	0.00261016434098844	0.070329721466998	0.874888834254739	SDHDP6	FALSE
Brain_Amygdala	ENSG00000139531.13	ADHD	46	0.00141464961274623	0.0325871825119823	0.00384137404104333	0.0876134864098856	0.874543307424343	SUOX	TRUE
Brain_Cerebellum	ENSG00000204178.11	F3	81	1.70384129406007e-08	0.0527451532613415	2.41212348305093e-08	0.0737977128350796	0.873457092743933	MACO1	FALSE
Brain_Cortex	ENSG00000111540.16	ADHD	38	0.00197175901313226	0.0422444352367991	0.0037793589556154	0.0800998996001527	0.8719045471943	RAB5B	FALSE
Brain_Hypothalamus	ENSG00000261349.1	F3	49	0.0259578891297437	0.0458201450644964	0.0209403574353535	0.0360921479895384	0.871189460380868	ENSG00000261349	FALSE
Brain_Hippocampus	ENSG00000196072.12	F3	95	8.14821514495861e-22	0.111470818593613	1.39338986770308e-22	0.0181917892711508	0.870337392135239	BLOC1S2	FALSE
Brain_Cerebellum	ENSG00000251402.3	ASD	95	0.00582468383785759	0.0495529554300265	0.00804650532550639	0.067585904917925	0.868989950488685	FAM90A25P	FALSE
Brain_Hippocampus	ENSG00000270562.1	ADHD	62	2.77111482674022e-05	5.1606889268076e-05	0.0462423576590961	0.0852494110325749	0.868428913270793	ENSG00000270562	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000224183.1	F3	82	0.000660079419937772	0.0543981027478156	0.000934217831668283	0.0761223617849741	0.867885238215604	SDHDP6	FALSE
Brain_Putamen_basal_ganglia	ENSG00000253893.2	ASD	710	1.18653457244383e-15	0.0151475252876545	9.42017683268328e-15	0.119394305094888	0.865458169617448	FAM85B	FALSE
Brain_Putamen_basal_ganglia	ENSG00000224183.1	F3	81	2.44955853332209e-06	0.0561988769098761	3.46783334922843e-06	0.0786954973895466	0.865099708308695	SDHDP6	FALSE
Brain_Cortex	ENSG00000167550.11	ADHD	131	5.68494158816732e-05	0.0614704068052618	6.87051448291182e-05	0.0734248466005622	0.864979192033465	RHEBL1	FALSE
Brain_Cortex	ENSG00000233609.3	ASD	2296	1.04803785598322e-27	0.00914468931867429	1.46380064868588e-26	0.126860419645005	0.86399489103632	RPL10P19	FALSE
Brain_Amygdala	ENSG00000173540.14	ADHD	369	2.489709789997e-14	0.00114517960561353	2.97496773747252e-12	0.135975252892744	0.862879567498643	GMPPB	FALSE
Brain_Hypothalamus	ENSG00000139636.16	ADHD	117	0.000321021406828816	0.0970029200203725	0.000138847192813058	0.041093961757622	0.861443249622363	LMBR1L	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000171056.8	ASD	94	0.000376572992194795	0.000692996016605114	0.0490261062806543	0.0893607337346631	0.860543590975882	SOX7	FALSE
Brain_Caudate_basal_ganglia	ENSG00000243477.6	ADHD	45	7.74525337734678e-11	0.00289615948197749	3.70930181189939e-09	0.137841553437841	0.859262283293426	NAA80	FALSE
Brain_Cortex	ENSG00000253893.2	ASD	1208	2.12757246216989e-18	0.0128725670045077	2.1526348540993e-17	0.129384290387809	0.857743142607681	FAM85B	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000235016.1	ADHD	88	0.0301025078815806	0.0229173388307427	0.0519606845594889	0.0387018686683934	0.856317600059795	SEMA3F-AS1	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000167550.11	ADHD	64	1.56614618047356e-07	0.0670125571670781	1.81739651110799e-07	0.0769070234621322	0.856080081016521	RHEBL1	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000177352.10	ADHD	354	6.32348009549087e-05	0.0731205149242561	6.20285613679666e-05	0.0708698153466971	0.855884406366725	CCDC71	FALSE
Brain_Substantia_nigra	ENSG00000173540.14	ADHD	402	6.92709924928423e-13	0.0012487181219738	8.01262409093514e-11	0.143584931110721	0.855166350686485	GMPPB	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000253893.2	ASD	726	1.33305272796526e-12	0.0136724212835412	1.28906457086928e-11	0.131357608759135	0.854969969943101	FAM85B	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000243477.6	ADHD	72	3.28415485437203e-06	0.00354553831765696	0.000132290284504851	0.141964816633622	0.854354070609363	NAA80	FALSE
Brain_Hypothalamus	ENSG00000224183.1	F3	82	5.53232593480832e-06	0.0609920113092802	7.82996315713961e-06	0.0854691545471876	0.85352547185444	SDHDP6	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000164078.14	ADHD	207	0.000127154089209852	0.00658204948679274	0.00267356160308646	0.137542118359869	0.853075116461043	MST1R	FALSE
Brain_Caudate_basal_ganglia	ENSG00000254340.2	ASD	78	0.0162748797942966	0.0485944888653071	0.0208916041087785	0.0615266622340217	0.852712364997596		FALSE
Brain_Cerebellar_Hemisphere	ENSG00000253893.2	ASD	997	3.1406375871515e-15	0.014428138044984	2.91075828551327e-14	0.132867985612879	0.852703876342105	FAM85B	FALSE
Brain_Substantia_nigra	ENSG00000139531.13	ADHD	45	0.00433704379801948	0.0355544960270248	0.0117857218796732	0.0957651897607766	0.852557548534506	SUOX	TRUE
Brain_Caudate_basal_ganglia	ENSG00000139531.13	ADHD	81	2.84015435963402e-06	0.0445037503273502	6.69251747596657e-06	0.104016818616125	0.851469898384689	SUOX	TRUE
Brain_Cerebellar_Hemisphere	ENSG00000154319.16	ASD	200	0.00514008002873108	0.064560538038225	0.00589549851325511	0.0731975543695778	0.851206329050211	FAM167A	FALSE
Brain_Caudate_basal_ganglia	ENSG00000173540.14	ADHD	551	1.03799006632371e-23	0.00112090389208552	1.38467419800787e-21	0.148677886599123	0.850201209508795	GMPPB	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000139531.13	ADHD	65	1.59656747641689e-09	0.0395698609498396	4.49198239683164e-09	0.110480840954745	0.849949292006864	SUOX	TRUE
Brain_Caudate_basal_ganglia	ENSG00000168036.18	ADHD	51	0.027469905425172	0.0986057251857645	0.00575042461624351	0.0197932917748645	0.848380652997955	CTNNB1	FALSE
